Reference, Value, Footprint, Datasheet, Characteristics, Description, MFN, MFP, Package ID, Source1, Source1Part, Source1Price, Source1Link, Notes, MFS
"P1","INPUT","Wire_Pads:SolderWirePad_single_1-5mmDrill",""
"P19","OUTPUT","Wire_Pads:SolderWirePad_single_1-5mmDrill",""
"U2","CH1/CH2_A","Socket_Strips:Socket_Strip_Straight_1x03","","120VAC","3PDT toggle switch, ON - NONE - ON","E-Switch","1003P1T1B1M1QEH","Value","Mouser","612-100-M1111","4,79 €","http://www.mouser.es/ProductDetail/E-Switch/1003P1T1B1M1QEH/?qs=sGAEpiMZZMvudeGI7i40XBXFLpevU8oTvBiQtyeh%252bOg%3d","Value",""
"R1","1M","Resistors_THT:Resistor_Horizontal_RM10mm","","0.25W","Metal film through hole resistor","Vishay","CCF551M00FKE36","MFR","Mouser","71-CCF551M00FKE36","0.16€","http://www.mouser.es/ProductDetail/Vishay/CCF551M00FKE36/?qs=%2fha2pyFaduid2YKtrsL5dWVM0U4IB6lgrjp5sO2j643o8cKOrmw6wg%3d%3d","Value","Value"
"C17","47u","Capacitors_THT:C_Radial_D14_L31.5_P5","","450VDC","General Purpose Electrolytic Capacitors","Panasonic","EEU-EE2W470S","EE","Mouser","667-EEU-EE2W470S","2.32€","http://www.mouser.es/ProductDetail/Panasonic/EEU-EE2W470S/?qs=sGAEpiMZZMtZ1n0r9vR22dN7zJS18SGVwev2rCc7kfs%3d","Value",""
"R4","2k7","Resistors_THT:Resistor_Horizontal_RM10mm","","0.25W","Metal film through hole resistor","Yageo","MFR-25FRF52-2K7","MFR","Mouser","603-MFR-25FRF52-2K7","0.113€","http://www.mouser.es/ProductDetail/Yageo/MFR-25FRF52-2K7/?qs=sGAEpiMZZMu61qfTUdNhG0IXHLFuiNndT8lq5qc%2fmIw%3d","Value",""
"RV1","1MA","Potentiometers:Potentiometer_WirePads_Small","","60mW","Carbon potentiometer, rotatory, serrated","Alpha (Taiwan)","RV16AF-20-15K-A1M-3LA","Through hole, panel mount","Mouser","313-1530F-1M","1,62 €","http://www.mouser.es/ProductDetail/Alpha-Taiwan/RV16AF-20-15K-A1M-3LA/?qs=sGAEpiMZZMtC25l1F4XBU1WvpdUcjC%2f6J2WjWqnT28JmR8gU1CL3Fw%3d%3d","Value",""
"R2","68k","Resistors_THT:Resistor_Horizontal_RM10mm","","0.25W","Metal film through hole resistor","Yageo","MFR-25FTE52-68K","MFR","Mouser","603-MFR-25FTE52-68K","0.113€","http://www.mouser.es/ProductDetail/Yageo/MFR-25FTE52-68K/?qs=sGAEpiMZZMu61qfTUdNhG0IXHLFuiNndqkYkeLIi2jk%3d","Value",""
"C2","680n","Capacitors_THT:C_Rect_L7_W4.5_P5","","50 VDC","Metallized Polyester (PET) Capacitors PCM 5 mm","WIMA","MKS2B036801C00JA00","MKS2","Mouser","505-MKS2B036801C00JA","0.342€","http://www.mouser.es/ProductDetail/WIMA/MKS2B036801C00JA00/?qs=sGAEpiMZZMv1cc3ydrPrF7l45uRd9dVhXD8p2Cb2qBg%3d","Value",""
"U1","BRIGHT","Socket_Strips:Socket_Strip_Straight_1x02","","125VAC","Toggle switch, ON-OFF","Mountain Switch","10TC605","Bulk","Mouser","10TC605","2.16 €","http://www.mouser.es/ProductDetail/Mountain-Switch/10TC605/?qs=sGAEpiMZZMvudeGI7i40XOrEA%2fE3pAYM8QXJzdSGoiU%3d","Value",""
"C9","22n","Capacitors_THT:C_Rect_L7_W3.5_P5","","400VAC","Double Metallized Polypropylene Film","Kemet","PHE450MK5220JR05","PHE450","Mouser","80-PHE450MK5220JR05","0.67€","http://www.mouser.es/ProductDetail/Kemet/PHE450MK5220JR05/?qs=sGAEpiMZZMv1cc3ydrPrF8YT%2fvJ6Du2Eeo2RW1jWhFw%3d","Value",""
